Citra,energy_0,homogenity_0,entrophy_0,contrast_0,energy_45,homogenity_45,entrophy_45,contrast_45,energy_90,homogenity_90,entrophy_90,contrast_90,energy_135,homogenity_135,entrophy_135,contrast_135,Label
371.png,0.002463514821095507,9.50099734314317,6.819720156483843,8.500997343143297,0.0017157255373028424,20.06856719490956,7.1911755451639685,19.06856719490957,0.0020553823266921565,12.492996116901589,6.943407968835024,11.492996116901736,0.0016145943170133104,20.41232416634436,7.199853526985259,19.412324166344522,0
372.png,0.0012539275379698232,24.332983854485885,7.246774156285296,23.33298385448581,0.0008778450897779881,44.18408067114014,7.578387879905305,43.18408067114114,0.0011994868439249282,22.788011444921164,7.253211963948406,21.788011444921278,0.0009503215425698279,40.58295009629518,7.512350397578679,39.58295009629524,0
373.png,0.0007052276576911322,29.657555691804767,7.751424601058506,28.657555691804514,0.0005118692216129196,54.23535359117104,8.064929099241555,53.23535359117129,0.0007036917418825573,30.366875127733593,7.762423102825757,29.366875127733373,0.0005155415902228469,56.48217461691574,8.07651660195407,55.48217461691603,0
374.png,0.0008848734427060929,28.97259554465571,7.52912449596237,27.972595544655412,0.0006450527518783109,55.61746701296126,7.848649396483444,54.6174670129614,0.0009444801273307329,28.466734109952895,7.484888251750378,27.46673410995276,0.0006928009265960302,49.5614294690348,7.787799797588198,48.56142946903504,0
375.png,0.0017026045436932475,19.46130185979993,6.984714414234056,18.46130185979955,0.00135685766284768,32.168497403812275,7.20576503185311,31.168497403812108,0.0019142160443171104,17.350220723482742,6.867375418322925,16.350220723482366,0.0012806772891883942,35.57942574820718,7.278318911173369,34.579425748207676,0
376.png,0.0009132376574200495,27.09104639280598,7.520485213866047,26.091046392805882,0.0006561051966554228,47.12246393273834,7.829381174852063,46.12246393273883,0.0008869999973686549,25.707036582873553,7.518683944081572,24.70703658287335,0.0006798118392311779,48.209197279579335,7.811475165825252,47.20919727957966,0
377.png,0.001236401537350585,16.02833231146535,7.169081405692663,15.028332311465377,0.0008926028984696482,28.657522190908537,7.492315579945822,27.657522190908512,0.0011090843185807293,20.340210504802794,7.279313479792352,19.340210504802744,0.0008421252597467842,37.324860161972445,7.561524829334139,36.32486016197275,0
378.png,0.0008320721962151285,17.191847537298372,7.563329221547385,16.191847537298013,0.0005956728280267391,30.54618799388507,7.883182404319306,29.546187993884764,0.000765422679721766,18.397298181075143,7.623172572930898,17.397298181074852,0.0005565710211581272,34.90284710837682,7.960990877830681,33.90284710837703,0
379.png,0.0007194335021243912,27.617112201103485,7.75586931422041,26.617112201103478,0.0005029523316406458,53.46194133863775,8.101808192334792,52.4619413386379,0.000722425019053868,23.581970161455132,7.72661013507145,22.581970161455097,0.0005557243210933016,40.996266892617314,8.001121367695328,39.99626689261828,0
38.png,0.002345628232443288,5.710582464745536,6.609637725248517,4.7105824647455465,0.0016375143543748325,15.203370439274615,7.010830497995005,14.203370439274684,0.0019178562667614772,11.665387287962222,6.825657862859134,10.665387287962467,0.0014618987492440191,16.344563355375904,7.081862643945764,15.344563355375875,0
380.png,0.0013267396827151242,9.169172286940418,7.129829831582626,8.169172286940562,0.0008157924116722983,29.485432899237157,7.637546393976147,28.485432899236756,0.0010840502030600102,17.38814633149404,7.346473182856666,16.38814633149387,0.0009304288987605045,19.772978360666567,7.479321209866295,18.77297836066649,0
381.png,0.0008999105985607442,19.24993868792163,7.5323476400375915,18.249938687921265,0.0005964857955552782,49.5027333140942,7.951839790395561,48.502733314094556,0.0007332900945135565,32.88375638667486,7.746069477058935,31.88375638667483,0.0005927615044750236,46.67969570262832,7.9584124937040235,45.67969570262876,0
382.png,0.0007215726124179293,24.60551195585529,7.727125001083009,23.605511955855178,0.0004905081401385757,53.10533543729948,8.103645659785498,52.10533543729915,0.0006434041064097796,30.506918046188126,7.837323876068372,29.50691804618818,0.0004986784553179458,48.47281319522497,8.101018769979142,47.47281319522443,0
